2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [23.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54096 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [24.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54112 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [25.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54126 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [26.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54130 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [27.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54140 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [28.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54154 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [29.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54162 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [30.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54176 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [31.0], ret: http://0.0.0.0:7801
